restaurant_id,restaurant_name,City,primary_cuisine,price_level,rating,num_reviews,ranking,popularity_score,avg_city_pressure,peak_city_pressure
d8574693,Estamine Art Food Drink,Lisbon,Bar,1.0,5.0,327.0,1.0,0.8594634467201074,71.93915752520559,97.65516301344215
d2719569,BA Wine Bar do Bairro Alto,Lisbon,Portuguese,1.0,4.5,1526.0,2.0,0.7408106967766086,71.93915752520559,97.65516301344215
d12351853,La Buvette da Mae d'Agua,Lisbon,French,1.0,5.0,177.0,3.0,0.6320332254305288,71.93915752520559,97.65516301344215
d8626284,Ha Tapas no Mercado!!!,Lisbon,European,1.0,5.0,423.0,4.0,0.6459011300631387,71.93915752520559,97.65516301344215
d8317381,O Vinhaca Tapas & Vinhos,Lisbon,Seafood,1.0,5.0,235.0,5.0,0.6046551282495941,71.93915752520559,97.65516301344215
d9976581,Restaurante Mili,Lisbon,Indian,1.0,4.5,813.0,6.0,0.6126070115437681,71.93915752520559,97.65516301344215
d10583082,Leo,Lisbon,Indian,1.0,4.5,363.0,7.0,0.5694157316977561,71.93915752520559,97.65516301344215
d4955432,Augusto Lisboa,Lisbon,European,1.0,4.5,706.0,8.0,0.5937915434760292,71.93915752520559,97.65516301344215
d4890768,Crisfama,Lisbon,Mediterranean,1.0,4.5,795.0,9.0,0.5949343242511302,71.93915752520559,97.65516301344215
d8074564,A Venda Lusitana,Lisbon,Mediterranean,1.0,4.5,548.0,10.0,0.5749609367835042,71.93915752520559,97.65516301344215
d2615468,Casa Nepalesa,Lisbon,Indian,1.0,4.5,1140.0,11.0,0.6049988766748402,71.93915752520559,97.65516301344215
d10392868,Sanskar Nepal,Lisbon,Indian,1.0,4.5,296.0,12.0,0.5424427219275462,71.93915752520559,97.65516301344215
d1721696,Come Prima Restaurante Italiano,Lisbon,Italian,1.0,4.5,1721.0,13.0,0.6192362711623953,71.93915752520559,97.65516301344215
d7285428,Salsa Rosa Bistro,Lisbon,Contemporary,1.0,4.5,948.0,14.0,0.5909007003051965,71.93915752520559,97.65516301344215
d6997204,Lisboete Restaurante,Lisbon,Mediterranean,4.0,4.5,418.0,15.0,0.5528550177799306,71.93915752520559,97.65516301344215
d7260478,Maruto Bar & Bistro,Lisbon,Bar,1.0,4.5,596.0,16.0,0.5674620661477323,71.93915752520559,97.65516301344215
d9608268,Il Covo,Lisbon,Italian,1.0,4.5,359.0,17.0,0.5437039520464346,71.93915752520559,97.65516301344215
d12678228,Restaurante Ti'Ascencao,Lisbon,Mediterranean,1.0,4.5,186.0,18.0,0.5133866883204363,71.93915752520559,97.65516301344215
d4115385,Santa Clara dos Cogumelos,Lisbon,Italian,1.0,4.5,421.0,19.0,0.5489629009591407,71.93915752520559,97.65516301344215
d945588,Clube de Jornalistas,Lisbon,Mediterranean,1.0,4.5,2110.0,20.0,0.6202795959925403,71.93915752520559,97.65516301344215
d2308921,Frade dos Mares,Lisbon,Seafood,1.0,4.5,2253.0,21.0,0.6225007990553596,71.93915752520559,97.65516301344215
d697284,Casa da Comida,Lisbon,Mediterranean,4.0,4.5,546.0,22.0,0.5584294330718471,71.93915752520559,97.65516301344215
d9553751,Lisbon Winery,Lisbon,Portuguese,1.0,4.5,445.0,23.0,0.5486936106318472,71.93915752520559,97.65516301344215
d3242757,Bistro Gato Pardo,Lisbon,Mediterranean,1.0,4.5,681.0,24.0,0.5671723656665236,71.93915752520559,97.65516301344215
d6852277,Mini Bar Teatro,Lisbon,European,4.0,4.5,1032.0,25.0,0.5852683134202482,71.93915752520559,97.65516301344215
d7792295,Taberna Sal Grosso,Lisbon,Mediterranean,1.0,4.5,1136.0,26.0,0.5891030841258457,71.93915752520559,97.65516301344215
d6825635,da Prata 52,Lisbon,Mediterranean,1.0,4.5,1842.0,27.0,0.6103087846212759,71.93915752520559,97.65516301344215
d12212925,IIIMPAR,Lisbon,Mediterranean,1.0,4.5,392.0,28.0,0.5406975609494415,71.93915752520559,97.65516301344215
d2285993,Restaurante India Gate,Lisbon,Indian,1.0,4.5,716.0,29.0,0.5672581331452479,71.93915752520559,97.65516301344215
d2337647,Cantinho Lusitano,Lisbon,Mediterranean,1.0,4.5,1232.0,30.0,0.5911946732136666,71.93915752520559,97.65516301344215
d9977670,Restaurante Alma,Lisbon,Mediterranean,4.0,4.5,466.0,31.0,0.5473874027494496,71.93915752520559,97.65516301344215
d10390211,Banca de Pau,Lisbon,Mediterranean,1.0,4.5,396.0,32.0,0.5398114784743301,71.93915752520559,97.65516301344215
d7201929,Cultura do Hamburguer,Lisbon,American,1.0,4.5,1751.0,33.0,0.60602007101399,71.93915752520559,97.65516301344215
d1520116,Floresta Das Escadinhas,Lisbon,Mediterranean,1.0,4.5,579.0,34.0,0.5562390136198477,71.93915752520559,97.65516301344215
d2628518,Belcanto,Lisbon,Portuguese,4.0,4.5,1664.0,35.0,0.603219217016964,71.93915752520559,97.65516301344215
d11934714,Organi Chiado,Lisbon,Mediterranean,1.0,4.5,383.0,36.0,0.5372783377796905,71.93915752520559,97.65516301344215
d6294193,Frangasqueira Nacional,Lisbon,Barbecue,1.0,4.5,625.0,37.0,0.5589417999441519,71.93915752520559,97.65516301344215
d8757206,Agulha No Palheiro,Lisbon,Mediterranean,1.0,4.5,210.0,38.0,0.5100206513514233,71.93915752520559,97.65516301344215
d1730728,Enoteca de Belem,Lisbon,Mediterranean,1.0,4.5,1173.0,39.0,0.586690196978881,71.93915752520559,97.65516301344215
d1792131,Wine Bar do Castelo,Lisbon,Portuguese,1.0,4.5,1298.0,40.0,0.5910295025048148,71.93915752520559,97.65516301344215
d10198402,Alto do Bairro,Lisbon,Fusion,1.0,4.5,384.0,41.0,0.5363782906182982,71.93915752520559,97.65516301344215
d4261980,Solar 31,Lisbon,European,1.0,4.5,1972.0,42.0,0.6093923074550748,71.93915752520559,97.65516301344215
d2285843,Cafe do Rio - Gourmet Burger,Lisbon,Portuguese,1.0,4.5,1336.0,43.0,0.5917975330148794,71.93915752520559,97.65516301344215
d10480656,Bairrices - Tapas,Lisbon,Mediterranean,1.0,4.5,246.0,44.0,0.515999431245171,71.93915752520559,97.65516301344215
d10293078,Restaurante Sucolento,Lisbon,Mediterranean,1.0,4.5,290.0,45.0,0.5231903614579053,71.93915752520559,97.65516301344215
d2165125,As Velhas,Lisbon,Mediterranean,1.0,4.5,782.0,46.0,0.5673779968027248,71.93915752520559,97.65516301344215
